出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/05/01","115/3","7740","熙特爾-創","綠能環保","1825754","465325","57718","292.3610379842046","3063.2315742056203","3091362","246984","1151.6446409484015","本月及本年營收較去年同期營收增加，主要係因依專案進度認列收入所致。"
"115/05/01","115/3","7749","意騰-KY","半導體業","186002","163726","88909","13.605658233878554","109.20491738744109","533313","311301","71.31747087224262","市場需求增加"
"115/05/01","115/3","7750","新代","電機機械","2246412","941778","1511590","138.52882526455278","48.61252059090097","4864503","3254985","49.447785473665775","-"
"115/05/01","115/3","7760","享溫馨","觀光餐旅","102748","156951","98665","-34.53498225560844","4.13824557847261","396972","402322","-1.3297806234806946","-"
"115/05/01","115/3","7765","中華資安","數位雲端","223229","151059","182116","47.77603452955468","22.57517186847943","597577","516219","15.760365271328642","-"
"115/05/01","115/3","7769","鴻勁","半導體業","4288436","3095968","2029884","38.51680637525969","111.26507721623501","10725197","5922276","81.09924292619932","主要係因市場需求較去年同期成長所致。"
"115/05/01","115/3","7780","大研生醫*","食品工業","189757","135700","134664","39.83566691230656","40.91145369215232","463842","334781","38.55087355614566","-"
"115/05/01","115/3","7786","東方風能","綠能環保","1111610","341377","615933","225.62533504014624","80.47579850405808","1772975","1153200","53.74392993409643","因施工季專案業務增加帶動。"
"115/05/01","115/3","7788","松川精密","電子零組件業","662505","520666","584808","27.24184025843823","13.28589896171051","1859122","1622519","14.582448649291626","-"
"115/05/01","115/3","7791","皇家可口","食品工業","170346","176173","188161","-3.307544288852435","-9.46795563373919","486306","534176","-8.961465883903433","-"
"115/05/01","115/3","7795","長廣","電子零組件業","128283","161180","147145","-20.410100508747984","-12.818648272112542","417748","506011","-17.442901438901526","-"
"115/05/01","115/3","7799","禾榮科","生技醫療業","1029","190","229","441.57894736842104","349.34497816593887","2885","229","1159.825327510917","使用硼中子捕獲治療(BNCT)之恩慈治療照射費及藥品收入"
"115/05/01","115/3","7821","神數","汽車工業","862923","637803","989782","35.29616511681507","-12.816862703100279","2490635","2259190","10.244600941045242","-"
"115/05/01","115/3","7822","倍利科","半導體業","230827","220878","126119","4.504296489464773","83.0231765237593","684442","304230","124.97518324951517","本月認列設備營收較前期多"
"115/05/01","115/3","7823","奧義賽博-KY創","數位雲端","30707","27062","23052","13.469071022097406","33.207530799930595","90953","71820","26.64021164021164","-"
"115/05/01","115/3","8011","台通","通信網路業","150033","132308","207416","13.396771170299603","-27.665657422763914","438359","484462","-9.516329454116113","-"
"115/05/01","115/3","8016","矽創","半導體業","2178523","1370135","1685266","59.00060942899787","29.268791988920444","5328772","4332354","22.99945941628962","-"
